id,timestamp,capteur,valeur,unite
1,2026-03-30 09:00:00,CAPTEUR_PRESS_2,1011,hPa
2,2026-03-30 09:00:05,CAPTEUR_PRESS_1,1010,hPa
3,2026-03-30 09:00:10,CAPTEUR_PRESS_2,1012,hPa
4,2026-03-30 09:00:15,CAPTEUR_PRESS_1,1017,hPa
5,2026-03-30 09:00:20,CAPTEUR_PRESS_2,1015,hPa
6,2026-03-30 09:00:25,CAPTEUR_PRESS_1,1020,hPa
7,2026-03-30 09:00:30,CAPTEUR_PRESS_2,1019,hPa
8,2026-03-30 09:00:35,CAPTEUR_PRESS_1,1016,hPa
9,2026-03-30 09:00:40,CAPTEUR_PRESS_2,1012,hPa
10,2026-03-30 09:00:45,CAPTEUR_PRESS_1,1012,hPa
11,2026-03-30 09:00:50,CAPTEUR_PRESS_2,1018,hPa
12,2026-03-30 09:00:55,CAPTEUR_PRESS_1,1015,hPa
13,2026-03-30 09:01:00,CAPTEUR_PRESS_2,1019,hPa
14,2026-03-30 09:01:05,CAPTEUR_PRESS_1,1013,hPa
15,2026-03-30 09:01:10,CAPTEUR_PRESS_2,1013,hPa
16,2026-03-30 09:01:15,CAPTEUR_PRESS_1,1019,hPa
17,2026-03-30 09:01:20,CAPTEUR_PRESS_2,1020,hPa
18,2026-03-30 09:01:25,CAPTEUR_PRESS_1,1011,hPa
19,2026-03-30 09:01:30,CAPTEUR_PRESS_2,1013,hPa
20,2026-03-30 09:01:35,CAPTEUR_PRESS_1,1019,hPa
21,2026-03-30 09:01:40,CAPTEUR_PRESS_2,1019,hPa
22,2026-03-30 09:01:45,CAPTEUR_PRESS_1,1016,hPa
23,2026-03-30 09:01:50,CAPTEUR_PRESS_2,1019,hPa
24,2026-03-30 09:01:55,CAPTEUR_PRESS_1,1020,hPa
25,2026-03-30 09:02:00,CAPTEUR_PRESS_2,1017,hPa
26,2026-03-30 09:02:05,CAPTEUR_PRESS_1,1020,hPa
27,2026-03-30 09:02:10,CAPTEUR_PRESS_2,1016,hPa
28,2026-03-30 09:02:15,CAPTEUR_PRESS_1,1013,hPa
29,2026-03-30 09:02:20,CAPTEUR_PRESS_2,1011,hPa
30,2026-03-30 09:02:25,CAPTEUR_PRESS_1,1010,hPa
31,2026-03-30 09:02:30,CAPTEUR_PRESS_2,1010,hPa
32,2026-03-30 09:02:35,CAPTEUR_PRESS_1,1017,hPa
33,2026-03-30 09:02:40,CAPTEUR_PRESS_2,1015,hPa
34,2026-03-30 09:02:45,CAPTEUR_PRESS_1,1015,hPa
35,2026-03-30 09:02:50,CAPTEUR_PRESS_2,1014,hPa
36,2026-03-30 09:02:55,CAPTEUR_PRESS_1,1017,hPa
37,2026-03-30 09:03:00,CAPTEUR_PRESS_2,1017,hPa
38,2026-03-30 09:03:05,CAPTEUR_PRESS_1,1010,hPa
39,2026-03-30 09:03:10,CAPTEUR_PRESS_2,1017,hPa
40,2026-03-30 09:03:15,CAPTEUR_PRESS_1,1012,hPa
41,2026-03-30 09:03:20,CAPTEUR_PRESS_2,1014,hPa
42,2026-03-30 09:03:25,CAPTEUR_PRESS_1,1012,hPa
43,2026-03-30 09:03:30,CAPTEUR_PRESS_2,1010,hPa
44,2026-03-30 09:03:35,CAPTEUR_PRESS_1,1012,hPa
45,2026-03-30 09:03:40,CAPTEUR_PRESS_2,1017,hPa
46,2026-03-30 09:03:45,CAPTEUR_PRESS_1,1011,hPa
47,2026-03-30 09:03:50,CAPTEUR_PRESS_2,1012,hPa
48,2026-03-30 09:03:55,CAPTEUR_PRESS_1,1010,hPa
49,2026-03-30 09:04:00,CAPTEUR_PRESS_2,1018,hPa
50,2026-03-30 09:04:05,CAPTEUR_PRESS_1,1017,hPa
51,2026-03-30 09:04:10,CAPTEUR_PRESS_2,1010,hPa
52,2026-03-30 09:04:15,CAPTEUR_PRESS_1,1018,hPa
53,2026-03-30 09:04:20,CAPTEUR_PRESS_2,1010,hPa
54,2026-03-30 09:04:25,CAPTEUR_PRESS_1,1019,hPa
55,2026-03-30 09:04:30,CAPTEUR_PRESS_2,1015,hPa
56,2026-03-30 09:04:35,CAPTEUR_PRESS_1,1015,hPa
57,2026-03-30 09:04:40,CAPTEUR_PRESS_2,1010,hPa
58,2026-03-30 09:04:45,CAPTEUR_PRESS_1,1016,hPa
59,2026-03-30 09:04:50,CAPTEUR_PRESS_2,1020,hPa
60,2026-03-30 09:04:55,CAPTEUR_PRESS_1,1011,hPa
61,2026-03-30 09:05:00,CAPTEUR_PRESS_2,1017,hPa
62,2026-03-30 09:05:05,CAPTEUR_PRESS_1,1012,hPa
63,2026-03-30 09:05:10,CAPTEUR_PRESS_2,1013,hPa
64,2026-03-30 09:05:15,CAPTEUR_PRESS_1,1015,hPa
65,2026-03-30 09:05:20,CAPTEUR_PRESS_2,1015,hPa
66,2026-03-30 09:05:25,CAPTEUR_PRESS_1,1017,hPa
67,2026-03-30 09:05:30,CAPTEUR_PRESS_2,1016,hPa
68,2026-03-30 09:05:35,CAPTEUR_PRESS_1,1020,hPa
69,2026-03-30 09:05:40,CAPTEUR_PRESS_2,1016,hPa
70,2026-03-30 09:05:45,CAPTEUR_PRESS_1,1016,hPa
71,2026-03-30 09:05:50,CAPTEUR_PRESS_2,1019,hPa
72,2026-03-30 09:05:55,CAPTEUR_PRESS_1,1018,hPa
73,2026-03-30 09:06:00,CAPTEUR_PRESS_2,1014,hPa
74,2026-03-30 09:06:05,CAPTEUR_PRESS_1,1011,hPa
75,2026-03-30 09:06:10,CAPTEUR_PRESS_2,1014,hPa
76,2026-03-30 09:06:15,CAPTEUR_PRESS_1,1016,hPa
