id,timestamp,capteur,valeur,unite
1,2026-03-30 09:00:00,CAPTEUR_TEMP_2,28.5,C
2,2026-03-30 09:00:05,CAPTEUR_TEMP_1,27.6,C
3,2026-03-30 09:00:10,CAPTEUR_TEMP_2,29.3,C
4,2026-03-30 09:00:15,CAPTEUR_TEMP_1,21.5,C
5,2026-03-30 09:00:20,CAPTEUR_TEMP_2,27.6,C
6,2026-03-30 09:00:25,CAPTEUR_TEMP_1,24.8,C
7,2026-03-30 09:00:30,CAPTEUR_TEMP_2,29.5,C
8,2026-03-30 09:00:35,CAPTEUR_TEMP_1,26.8,C
9,2026-03-30 09:00:40,CAPTEUR_TEMP_2,21.7,C
10,2026-03-30 09:00:45,CAPTEUR_TEMP_1,27.5,C
11,2026-03-30 09:00:50,CAPTEUR_TEMP_2,24.5,C
12,2026-03-30 09:00:55,CAPTEUR_TEMP_1,24.0,C
13,2026-03-30 09:01:00,CAPTEUR_TEMP_2,22.3,C
14,2026-03-30 09:01:05,CAPTEUR_TEMP_1,20.1,C
15,2026-03-30 09:01:10,CAPTEUR_TEMP_2,26.8,C
16,2026-03-30 09:01:15,CAPTEUR_TEMP_1,28.8,C
17,2026-03-30 09:01:20,CAPTEUR_TEMP_2,22.4,C
18,2026-03-30 09:01:25,CAPTEUR_TEMP_1,29.2,C
19,2026-03-30 09:01:30,CAPTEUR_TEMP_2,27.9,C
20,2026-03-30 09:01:35,CAPTEUR_TEMP_1,27.7,C
21,2026-03-30 09:01:40,CAPTEUR_TEMP_2,25.0,C
22,2026-03-30 09:01:45,CAPTEUR_TEMP_1,24.0,C
23,2026-03-30 09:01:50,CAPTEUR_TEMP_2,25.1,C
24,2026-03-30 09:01:55,CAPTEUR_TEMP_1,25.6,C
25,2026-03-30 09:02:00,CAPTEUR_TEMP_2,28.5,C
26,2026-03-30 09:02:05,CAPTEUR_TEMP_1,27.7,C
27,2026-03-30 09:02:10,CAPTEUR_TEMP_2,24.4,C
28,2026-03-30 09:02:15,CAPTEUR_TEMP_1,21.1,C
29,2026-03-30 09:02:20,CAPTEUR_TEMP_2,28.5,C
30,2026-03-30 09:02:25,CAPTEUR_TEMP_1,20.1,C
31,2026-03-30 09:02:30,CAPTEUR_TEMP_2,20.1,C
32,2026-03-30 09:02:35,CAPTEUR_TEMP_1,27.1,C
33,2026-03-30 09:02:40,CAPTEUR_TEMP_2,29.3,C
34,2026-03-30 09:02:45,CAPTEUR_TEMP_1,28.2,C
