id,timestamp,capteur,valeur,unite
1,2026-03-30 09:00:00,CAPTEUR_CO2_2,727,ppm
2,2026-03-30 09:00:05,CAPTEUR_CO2_1,418,ppm
3,2026-03-30 09:00:10,CAPTEUR_CO2_2,507,ppm
4,2026-03-30 09:00:15,CAPTEUR_CO2_1,433,ppm
5,2026-03-30 09:00:20,CAPTEUR_CO2_2,543,ppm
6,2026-03-30 09:00:25,CAPTEUR_CO2_1,629,ppm
7,2026-03-30 09:00:30,CAPTEUR_CO2_2,623,ppm
8,2026-03-30 09:00:35,CAPTEUR_CO2_1,548,ppm
9,2026-03-30 09:00:40,CAPTEUR_CO2_2,429,ppm
10,2026-03-30 09:00:45,CAPTEUR_CO2_1,494,ppm
11,2026-03-30 09:00:50,CAPTEUR_CO2_2,615,ppm
12,2026-03-30 09:00:55,CAPTEUR_CO2_1,653,ppm
13,2026-03-30 09:01:00,CAPTEUR_CO2_2,788,ppm
14,2026-03-30 09:01:05,CAPTEUR_CO2_1,700,ppm
15,2026-03-30 09:01:10,CAPTEUR_CO2_2,490,ppm
16,2026-03-30 09:01:15,CAPTEUR_CO2_1,576,ppm
17,2026-03-30 09:01:20,CAPTEUR_CO2_2,539,ppm
18,2026-03-30 09:01:25,CAPTEUR_CO2_1,745,ppm
19,2026-03-30 09:01:30,CAPTEUR_CO2_2,617,ppm
20,2026-03-30 09:01:35,CAPTEUR_CO2_1,752,ppm
21,2026-03-30 09:01:40,CAPTEUR_CO2_2,710,ppm
22,2026-03-30 09:01:45,CAPTEUR_CO2_1,631,ppm
23,2026-03-30 09:01:50,CAPTEUR_CO2_2,553,ppm
24,2026-03-30 09:01:55,CAPTEUR_CO2_1,440,ppm
25,2026-03-30 09:02:00,CAPTEUR_CO2_2,631,ppm
26,2026-03-30 09:02:05,CAPTEUR_CO2_1,728,ppm
27,2026-03-30 09:02:10,CAPTEUR_CO2_2,554,ppm
28,2026-03-30 09:02:15,CAPTEUR_CO2_1,481,ppm
29,2026-03-30 09:02:20,CAPTEUR_CO2_2,691,ppm
30,2026-03-30 09:02:25,CAPTEUR_CO2_1,499,ppm
31,2026-03-30 09:02:30,CAPTEUR_CO2_2,754,ppm
32,2026-03-30 09:02:35,CAPTEUR_CO2_1,489,ppm
33,2026-03-30 09:02:40,CAPTEUR_CO2_2,778,ppm
